Area_num, Area_key, x_coord, y_coord, est_Intercept, se_Intercept, t_Intercept, est_LD, se_LD, t_LD, est_NDVI, se_NDVI, t_NDVI, est_RF, se_RF, t_RF, est_GP, se_GP, t_GP, est_CC1, se_CC1, t_CC1, est_TDS1, se_TDS1, t_TDS1, est_Sl1, se_Sl1, t_Sl1, est_DD1, se_DD1, t_DD1, est_Lf1, se_Lf1, t_Lf1, est_STC1, se_STC1, t_STC1, est_LULC1, se_LULC1, t_LULC1, est_Geol1, se_Geol1, t_Geol1, y, yhat, residual, std_residual, localR2, influence, CooksD
2258,2330,848664.6972,1691753,-44.365948,0.928949,-47.759313,1.294069,0.058755,22.024736,-0.207932,0.041541,-5.005428,-0.003191,0.001025,-3.113337,-0.00567,0.003812,-1.48741,0.682953,0.023011,29.67946,21.418985,0.468345,45.733377,-0.015164,0.004041,-3.75289,0.011231,0.004117,2.727848,-0.004852,0.002212,-2.193865,-0.000044,0.00008,-0.546517,0.000983,0.001454,0.675775,0.00007,0.000031,2.241743,0.440026,0.46865,-0.028625,-0.875832,0.994234,0.047963,0.000203
2259,2331,815664.6972,1680753,-3.186803,2.736162,-1.164698,1.261916,0.406652,3.103182,-0.001345,0.045723,-0.029423,-0.000453,0.000862,-0.526249,-0.012491,0.011046,-1.130853,1.629198,0.10949,14.879929,-2.581627,1.473168,-1.752433,0.000198,0.004966,0.039924,-0.002204,0.003818,-0.577459,0.000415,0.002412,0.172212,-0.000066,0.000106,-0.620383,-0.000337,0.00125,-0.269448,-0.000042,0.000042,-0.994387,-0.207916,-0.214765,0.006849,0.214543,0.84897,0.091668,0.000024
2260,2332,838664.6972,1707753,-7.526345,1.403685,-5.361846,0.444904,0.016728,26.596527,0.153866,0.039947,3.851747,0.00635,0.000885,7.174407,-0.038093,0.005214,-7.30569,1.616169,0.035143,45.988751,-1.051654,0.789844,-1.33147,-0.01282,0.004658,-2.752166,0.008584,0.004486,1.91362,0.003745,0.002222,1.685602,0.000264,0.00009,2.923831,0.005248,0.004708,1.114546,-0.000297,0.000031,-9.694021,-0.127595,-0.19619,0.068595,2.129789,0.969682,0.075458,0.00194
2261,2333,823664.6972,1674753,-12.414614,1.413149,-8.785069,1.54068,0.252222,6.108433,-0.053001,0.047782,-1.109224,0.001282,0.000962,1.332554,-0.018762,0.007227,-2.595971,1.265068,0.081098,15.599311,2.951561,0.781017,3.779128,-0.001877,0.004785,-0.392183,-0.002047,0.004278,-0.478506,0.000083,0.002432,0.034221,-0.000027,0.000105,-0.258731,0.000599,0.001193,0.501553,0.000005,0.000039,0.131236,-0.311505,-0.312817,0.001312,0.040047,0.968737,0.043136,0
2262,2334,868636.963,1712691.833,-25.481706,1.487172,-17.13434,-0.356783,0.04623,-7.717566,0.002003,0.043548,0.045995,0.000959,0.001009,0.950339,-0.017796,0.00827,-2.152055,0.911822,0.011756,77.56443,10.717721,0.70951,15.105813,0.002332,0.004005,0.582337,-0.000826,0.003563,-0.231725,-0.000119,0.002273,-0.05246,0.000018,0.000085,0.214611,-0.000615,0.001364,-0.450996,0.000006,0.000025,0.233356,0.831135,0.820072,0.011063,0.357419,0.998871,0.146043,0.000114
2263,2335,850664.6972,1714753,-47.991888,1.767837,-27.147238,0.137171,0.029136,4.707993,0.092008,0.047135,1.952011,0.016182,0.001451,11.15567,0.016623,0.004682,3.550085,0.589122,0.034542,17.05529,21.513232,0.907917,23.695165,-0.006496,0.005173,-1.255709,0.006603,0.004557,1.448912,-0.004163,0.002397,-1.737046,0.000102,0.000092,1.108541,0.004294,0.002601,1.650485,0.000112,0.000031,3.679159,0.173753,0.181615,-0.007862,-0.239689,0.983787,0.041005,0.000013
2264,2336,833664.6972,1701753,-13.45043,1.332957,-10.090674,0.695671,0.025516,27.263721,0.028803,0.04199,0.685953,-0.000746,0.001049,-0.710965,0.00144,0.005595,0.2574,1.387586,0.036792,37.714393,3.32566,0.76127,4.36857,-0.000608,0.005141,-0.118256,0.012106,0.004102,2.950986,-0.002534,0.002414,-1.049486,0.00019,0.000093,2.040555,0.006402,0.004721,1.355936,-0.000129,0.000037,-3.536747,0.072639,0.070406,0.002233,0.07342,0.974844,0.175735,0.000006
2265,2337,865664.6972,1710753,-26.761186,1.637717,-16.340546,-0.315874,0.052446,-6.022812,0.009195,0.052409,0.175448,0.00054,0.001151,0.468758,-0.005468,0.01186,-0.461048,0.908322,0.013452,67.524699,11.419673,0.780471,14.631763,0.000043,0.004999,0.008588,-0.001257,0.004188,-0.300068,-0.000255,0.00269,-0.094599,-0.000009,0.000092,-0.092978,-0.000107,0.001674,-0.063923,0.000013,0.000029,0.456978,0.60571,0.606009,-0.000299,-0.009422,0.998176,0.10421,0
2266,2338,844664.6972,1707753,-28.320648,1.232993,-22.969022,0.368643,0.021929,16.811104,0.091403,0.042238,2.16399,0.01275,0.00087,14.656028,0.001264,0.004041,0.3128,0.985688,0.029237,33.713186,10.667842,0.666507,16.005603,-0.004779,0.004813,-0.993,-0.002597,0.004335,-0.599043,-0.001397,0.002242,-0.623287,0.000146,0.000082,1.769421,0.009668,0.003128,3.091301,-0.000051,0.000031,-1.662435,0.95399,0.922364,0.031626,1.08522,0.981933,0.243055,0.001982
2267,2339,851664.6972,1665753,-31.453384,1.479755,-21.255803,0.49372,0.056329,8.764889,0.026278,0.040024,0.656562,0.005685,0.000614,9.258487,-0.015059,0.004897,-3.074963,0.838673,0.022958,36.531121,13.517649,0.760685,17.770359,0.009737,0.004558,2.136099,0.008195,0.00395,2.074694,-0.01221,0.0023,-5.308083,-0.000111,0.000102,-1.086724,-0.009475,0.002096,-4.521014,0.000306,0.000033,9.165767,0.655835,0.642236,0.0136,0.419714,0.988718,0.06423,0.000063
2268,2340,852664.6972,1692753,-51.564555,0.90488,-56.984975,1.311898,0.058055,22.597703,-0.003542,0.041894,-0.084556,-0.002927,0.000979,-2.988648,0.010858,0.003783,2.870058,0.309968,0.0179,17.316907,26.060772,0.437789,59.528195,-0.017113,0.003987,-4.292423,0.013169,0.004111,3.203278,-0.006184,0.002204,-2.806089,0.000081,0.000085,0.955931,-0.004337,0.001607,-2.698126,0.000183,0.00003,6.100083,0.635889,0.633031,0.002858,0.088347,0.993742,0.06707,0.000003
